Lobbyist,Client,Position,Start date,End date,Bill #,Subject
"Gates, Landon",HCA-THE HEALTHCARE COMPANY,Monitoring,01/29/2024,01/31/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Herzberg, Brock",HCA-THE HEALTHCARE COMPANY,Monitoring,01/29/2024,01/31/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Ward, Taylor Blake",Colorado Department of Public Health and Environment,,01/01/2024,08/12/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Moldovan, Karen",AARP,Supporting,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Robinson, Anaya D",ACLU of Colorado,Supporting,01/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Leyba, Kallie",AFT Colorado,Supporting,01/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"ORF, Dianna",ASSOCIATED GOVERNMENTS OF NORTHWEST COLORADO (AGNC),Monitoring,02/07/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Zheleznyak, Jacqueline",Advent Health,Amending,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Brownstein Hyatt Farber Schreck, LLP",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Jones, Abby M",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"KUIPERS, MELISSA L",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Meeks, Jia",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Reveley, Cooper",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Whelan, Sloane",AdventHealth,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Emma Hudson Consulting LLC,Alliance,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Orf & Orf PC,Associated Governments of Northwest Colorado,Monitoring,02/07/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Orf, Richard Benedict",Associated Governments of Northwest Colorado,Monitoring,02/07/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Labadie, Jon Michael",Banner Health,Amending,03/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Michael Best Strategies,Banner Health,Amending,03/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Kyle, MPA, CAE, Henry C",COALITION FOR MEDICAL REFORM,Monitoring,01/22/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Capitol Success Group,COLO BEHAVIORAL HEALTHCARE COUNCIL,Amending,01/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Frontline Public Affairs (Miles Consulting, Inc.)",COLORADO COMMUNITY HEALTH NETWORK,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"MILES, JENNIFER L",COLORADO COMMUNITY HEALTH NETWORK,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Kunkle Consulting LLC,COLORADO HEALTH CARE ASSOCIATION,Monitoring,02/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
August Policy Strategies,Centura Health,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Stern, Ellen Steiner",Children's Hospital Colorado,Monitoring,01/31/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
ProtoStrategies LLC,Colorado Academy of Physician Assistants,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Capitol Solutions/Sandra Hagen Solin,Colorado Association of Chiefs of Police,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"King, Tari",Colorado Association of Chiefs of Police,Monitoring,01/30/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Arnold, Brandon",Colorado Association of Health Plans,Monitoring,01/29/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Swift Strategies LLC,Colorado Behavioral Healthcare Council,Amending,01/22/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Castaneda, Milena A",Colorado Center on Law and Policy,Supporting,02/20/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Frontline Public Affairs (Miles Consulting, Inc.)",Colorado Center on Law and Policy,Supporting,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"MILES, JENNIFER L",Colorado Center on Law and Policy,Supporting,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Ward, Lisa Ann",Colorado Center on Law and Policy,Supporting,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Cherry Point Strategies,Colorado Chapter College of Emergency Physicans,Monitoring,02/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"McCarthy, Danny",Colorado Coalition for the Homeless,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",Colorado Coalition for the Homeless,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Anderson, Polly",Colorado Community Health Network,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Brooks, Stephanie",Colorado Community Health Network,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"McElwain, Kate",Colorado Community Health Network,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Preuss, Shoshi",Colorado Community Health Network,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Ward, Lisa Ann",Colorado Community Health Network,Amending,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Adam, Fox Bennett",Colorado Consumer Health Initiative,Supporting,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cruz, Isabel Ariel",Colorado Consumer Health Initiative,Supporting,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
ProtoStrategies LLC,Colorado Consumer Health Initiative,Supporting,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Gorman Consulting,Colorado Criminal Defense Bar,Supporting,01/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"McCarthy, Danny",Colorado Criminal Defense Bar,Supporting,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",Colorado Criminal Defense Bar,Supporting,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Jorgensen, Hillary G",Colorado Cross Disability Coalition,Supporting,01/13/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Labadie, Jon Michael",Colorado Dental Association,Monitoring,03/06/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Michael Best Strategies,Colorado Dental Association,Monitoring,03/06/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Raynes, Meghan",Colorado Education Association,Monitoring,01/22/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Novel Strategies, LLC",Colorado Freedom Fund,Supporting,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Brownstein Hyatt Farber Schreck, LLP",Colorado Health Care Association,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Farmer, Edwin Doug""""",Colorado Health Care Association,Amending,02/25/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mercer, Sarah",Colorado Health Care Association,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Reveley, Cooper",Colorado Health Care Association,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Whelan, Sloane",Colorado Health Care Association,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Colorado Hospital Association,Amending,02/13/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"BRANDEBERRY, JENIFER",Colorado Hospital Association,Amending,02/13/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Frazier, Bridget",Colorado Hospital Association,Amending,02/13/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"MCKENNA, JULIE",Colorado Hospital Association,Amending,02/13/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mizer, Susanna",Colorado Hospital Association,Amending,02/15/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Cherry Point Strategies,Colorado Medical Society,Monitoring,02/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Hays, Lacey A",Colorado Mental Wellness Network,Supporting,01/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Kramer, Bailey",Colorado Mental Wellness Network,Supporting,01/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Legacy Consulting Colorado, LLC",Colorado Mental Wellness Network,Supporting,01/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Capitol Success Group,Colorado Nurses Association,Supporting,01/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Casper, M Colleen",Colorado Nurses Association,Supporting,01/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Romero, Alec T",Colorado Nurses Association,Supporting,02/14/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Romero, Ryan E",Colorado Nurses Association,Supporting,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Capitol Focus, LLC",Colorado Organization for Victim Assistance,Monitoring,01/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Gates, Landon",Colorado Organization for Victim Assistance,Monitoring,01/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Herzberg, Brock",Colorado Organization for Victim Assistance,Monitoring,01/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Cherry Point Strategies,Colorado Orthopedics Society,Monitoring,02/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Kyle, MPA, CAE, Henry C",Colorado Placement & Referral Alliance,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Frontline Public Affairs (Miles Consulting, Inc.)",Colorado Providers Association,Supporting,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"MILES, JENNIFER L",Colorado Providers Association,Supporting,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Ward, Lisa Ann",Colorado Providers Association,Supporting,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",Colorado Psychiatric Society,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Florangel M",Colorado Psychiatric Society,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Weaver-Hayes, Anna",Colorado Psychiatric Society,Monitoring,01/15/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",Colorado Public Health Association,Monitoring,02/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Pitlik, Amy",Colorado Public Health Association,Monitoring,02/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Erb Zager, Kelly",Colorado Rural Health Center,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"J. Andrew Green & Assoc., Inc.",Colorado Springs Chamber of Commerce and EDC,Monitoring,01/14/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
REES CONSULTING AND PUBLIC AFFAIRS,Common Spirit,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"GOFF, ERIN E",County Sheriffs of Colorado,Monitoring,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"HACKENBERGER, MICKI M",County Sheriffs of Colorado,Monitoring,01/25/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Hackenberger, Carrie",County Sheriffs of Colorado,Monitoring,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Husch Blackwell Strategies,County Sheriffs of Colorado,Monitoring,02/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"LaBriola, Lisa",County Sheriffs of Colorado,Monitoring,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Lo, Elizabeth",County Sheriffs of Colorado,Monitoring,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Neimond, Kevin",County Sheriffs of Colorado,Monitoring,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Cavan Consulting,Craig Hospital,Monitoring,02/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Denver Health,Denver Health,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Howes, Angela Baker",Denver Health,Amending,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Wolf, Kathryn",Denver Health,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Johnson, Jack Ethan",Disability Law Colorado,Supporting,01/21/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Political Advocacy, Inc",Eagle Valley Behavoiral Health,Supporting,02/02/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Orrange Political Strategies, LLC","Elevance Health, and its Affiliates dba Anthem, Inc.",Monitoring,01/29/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"WEISS, REBECCA L","Elevance Health, and its Affiliates dba Anthem, Inc.",Monitoring,01/29/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Kyle, MPA, CAE, Henry C",Golden Gate Manor Transportation,Monitoring,01/22/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"GOFF, ERIN E",HCA - THE HEALTHCARE COMPANY,Opposing,02/29/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"HACKENBERGER, MICKI M",HCA - THE HEALTHCARE COMPANY,Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Hogan, Mary K",HCA Management Services,Opposing,02/27/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Capitol Focus, LLC",HCA-THE HEALTHCARE COMPANY,Opposing,02/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Gates, Landon",HCA-THE HEALTHCARE COMPANY,Opposing,02/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Herzberg, Brock",HCA-THE HEALTHCARE COMPANY,Opposing,02/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"LaBriola, Lisa",HCA-The Health Care Co,Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Hackenberger, Carrie",HEALTHONE/HCA,Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Husch Blackwell Strategies,HealthONE/HCA,Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Lo, Elizabeth",HealthOne (HCA),Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Neimond, Kevin",HealthOne/HCA,Opposing,02/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cavanaugh, Mark",IHEC - Colorado College,Monitoring,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cavanaugh, Mark",IHEC - Regis University,Monitoring,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cavanaugh, Mark",IHEC - University of Denver,Monitoring,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cavanaugh, Mark",Independent Higher Education of Colorado,Monitoring,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",InnovAge,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Florangel M",InnovAge,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Nuechterlein, Samantha Anne",Intermountain Healthcare,Amending,02/26/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Groves, Shannon E",Kaiser Foundation Health Plan,Monitoring,03/19/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
G BERRY CORP,LEADING AGE COLORADO,Amending,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Anshus, Bridget Rose",Mental Health Colorado,Supporting,01/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Morse Public Affairs, LLC",Mental Health Colorado,Supporting,02/20/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Political Advocacy, Inc",Mental Health Colorado,Supporting,02/02/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Schultz Public Affairs, LLC",Mental Health Colorado,Supporting,03/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Capitol Solutions/Sandra Hagen Solin,NORTHERN COLO LEGIS ALLIANCE,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",National Alliance on Mental Illness,Supporting,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Florangel M",National Alliance on Mental Illness,Supporting,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Frontline Public Affairs (Miles Consulting, Inc.)","National Association of Social Workers, Colorado Chapter",Monitoring,01/17/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"MILES, JENNIFER L","National Association of Social Workers, Colorado Chapter",Monitoring,01/17/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Rupp, Leanne Dixon","National Association of Social Workers, Colorado Chapter",Monitoring,01/17/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Ward, Lisa Ann","National Association of Social Workers, Colorado Chapter",Monitoring,01/17/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Gold Leaf Strategies, LLC",Pinnacol Assurance,Monitoring,01/24/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Sanchez Policy Works LLC,Pinnacol Assurance,Monitoring,01/23/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",Planned Parenthood of the Rocky Mountains,Monitoring,01/30/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Pitlik, Amy",Planned Parenthood of the Rocky Mountains,Monitoring,01/30/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Davis, Sami Jo",Providence Administrative Consulting Services,Monitoring,02/16/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Sewald Hanfling Public Affairs,Providence Administrative Consulting Services,Monitoring,03/01/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",RxPlus Pharmacies,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Florangel M",RxPlus Pharmacies,Monitoring,01/12/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Salazar & Associates,SEIU Local 105,Supporting,01/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Salazar, Leigh Antoinette",SEIU Local 105,Supporting,01/10/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"BOYLE, PATRICK C",TRI-STATE GENERATION AND TRANSMISSION ASSN,Supporting,03/05/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Barkis, Anne Katherine",The Arc of Colorado,Supporting,02/20/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Mendez, Barkis and Associates",The Arc of Colorado,Supporting,02/20/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Cook, Mariah Catherine",UC Health,Amending,01/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
Sewald Hanfling Public Affairs,UC Health,Amending,01/11/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
"Sewald, R.D.",UCHealth,Amending,02/15/2024,06/30/2024,HB24-1066,Prevent Workplace Violence in Health-Care Settings
