billName,longTitle,Bill #,session,subjects,primeSponsors,committees,summary,approved,effective,vetoed
Training for Entry-Level Health-Care Workers,"Concerning portable requirements for direct-care health-care workers in assisted living residences, and, in connection therewith, making an appropriation.",SB24-167,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Joann Ginal', 'Jim Smallwood', 'Karen McCormick']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act authorizes the department of public health and environment to require each operator of an assisted living residence (operator) to require each direct care worker who provides direct care services to residents of an assisted living residence (direct care worker) to: Take a tuberculosis test; and Undergo fit testing for a respiratory mask. The act requires each operator to require each direct care worker to complete direct care training to provide specific services to residents. The individual or entity that provides training is required to provide each trained direct care worker with a certificate of completion of training that may be presented to another assisted living residence to consider for the purposes of satisfying the residence's training requirements. For a direct care worker who has been issued a certificate of completion, an operator may require an employee to complete new training or may require the completion of a competency test prior to the employee providing direct care services. ","June 6, 2024","January 1, 2025",False
Treatment for Substance Use Disorders,"Concerning treatment for substance use disorders, and, in connection therewith, making an appropriation.",HB24-1045,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Ryan Armagost', 'Chris deGruy Kennedy', 'Kyle Mullica', 'Perry Will']","{'House': ['Health & Human Services', 'Finance', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act prohibits an insurance carrier that provides coverage for a drug used to treat a substance use disorder under a health benefit plan from requiring prior authorization for the drug based solely on the dosage amount. The act requires an insurance carrier to reimburse a licensed pharmacist prescribing or administering medication-assisted treatment (MAT) pursuant to a collaborative pharmacy practice agreement (collaborative agreement) at a rate equal to the reimbursement rate for other health-care providers. The act amends the practice of pharmacy to include prescriptive authority for any FDA-approved product indicated for opioid use disorder in accordance with federal law, if authorized through a collaborative agreement. The act requires the state board of pharmacy, the Colorado medical board, and the state board of nursing to develop a protocol for pharmacists to prescribe, dispense, and administer certain FDA-approved products for MAT. The act requires reimbursement to pharmacies of an enhanced dispensing fee for administering injectable antagonist medication for MAT that aligns with the administration fee paid to a provider in a clinical setting. The act requires the medical assistance program to reimburse a pharmacist prescribing or administering medications for opioid use disorder pursuant to a collaborative agreement at a rate equal to the reimbursement rate for other providers. The act authorizes licensed clinical social workers, marriage and family therapists, and licensed professional counselors (professionals) within their scope of practice to provide clinical supervision to individuals seeking certification as addiction technicians and addiction specialists, and directs the state board of addiction counselors and the state board of human services, as applicable, to adopt rules relating to clinical supervision by these professionals. Further, a licensed addiction counselor is authorized to provide clinical supervision to individuals seeking licensure as marriage and family therapists or professional counselors if the licensed addiction counselor has met the education requirements for those professions, or the equivalent, as determined by the respective boards regulating those professions. The act expands the medication-assisted treatment expansion pilot program to include grants to provide training and ongoing support to pharmacies and pharmacists who are authorized to prescribe, dispense, and administer MAT pursuant to a collaborative agreement or drug therapy protocol to assist individuals with a substance use disorder. The act requires the department of health care policy and financing (HCPF) to seek federal authorization to provide MAT, case management services, and a 30-day supply of prescription medication to medicaid members upon release from jail or a juvenile institutional facility. The act adds substance use disorder treatment to the list of health-care or mental health-care services that are required to be reimbursed at the same rate for telemedicine as a comparable in-person service. The act requires HCPF to seek federal authorization to provide partial hospitalization for substance use disorder treatment with full federal financial participation. The act requires each managed care entity (MCE) that provides prescription drug benefits or methadone administration for the treatment of substance use disorders to: Set the reimbursement rate for take-home methadone treatment and office-administered methadone treatment at the same rate; and Not impose any prior authorization requirements on any prescription medication approved by the FDA for the treatment of substance use disorders, regardless of the dosage amount. The act requires the behavioral health administration (BHA) to collect data from each withdrawal management facility on the total number of individuals who were denied admittance or treatment for withdrawal management and the reason for the denial and to review and approve any admission criteria established by a withdrawal management facility. The act requires each MCE to disclose the aggregated average and lowest rates of reimbursement for a set of behavioral health services determined by HCPF and authorizes behavioral health providers to disclose reimbursement rates paid by an MCE to the behavioral health provider. Beginning in the 2024-25 state fiscal year, the act appropriates $150,000 from the general fund to the Colorado child abuse prevention trust fund (trust fund) for programs to reduce the occurrence of prenatal substance exposure. For the 2024-25 and 2025-26 state fiscal years, the act also annually appropriates $50,000 from the general fund to the trust fund to convene a stakeholder group to identify strategies to increase access to child care for families seeking substance use disorder treatment and recovery services. The act requires the BHA to contract with an independent third-party entity to provide services and supports to behavioral health providers seeking to become a behavioral health safety net provider with the goal of the provider becoming self-sustaining. The act creates the contingency management grant program in the BHA to provide grants to substance use disorder treatment programs that implement a contingency management program for individuals with a stimulant use disorder. The act authorizes the BHA to apply for federal funding for fetal alcohol spectrum disorder programs and to receive and disburse federal funds to public and private nonprofit organizations. The act extends the opioid and other substance use disorders study committee until September 1, 2026. The act appropriates money to implement the act. ","June 6, 2024","July 1, 2025",False
Birth Equity,Concerning protections for birthing persons.,HB24-1459,2024 Regular Session,"['Crimes, Corrections, & Enforcement', 'Health Care & Health Insurance']","['Leslie Herod', 'Lorena García', 'Janet Buckner', 'Julie Gonzales']","{'House': ['Judiciary'], 'Senate': ['Judiciary']}","Current law prohibits the use of restraints on a pregnant individual in custody with certain exceptions. The act requires the staff of a jail, the department of corrections, or a private contract prison to comply with current law regarding the use of restraints on individuals who are in custody and experiencing labor, delivery, or postpartum recovery. The act also requires a correctional facility or private contract prison to develop administrative policies, including a system for human milk storage, to ensure a newborn can receive the milk that the newborn's postpartum parent has pumped for the newborn's nourishment. The act requires each health-care facility that provides labor and delivery services to establish a policy creating a process for the facility to receive individuals who are pregnant, undergoing physiologic birth, or in the physiologic postpartum process from locations other than licensed facilities. ","June 5, 2024","June 5, 2024",False
Breast Cancer Screening Fund Transfer,"Concerning the breast and cervical cancer prevention and treatment fund, and, in connection therewith, making an appropriation.",SB24-086,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Janice Rich', 'Dafna Michaelson Jenet', 'Shannon Bird', 'Ron Weinberg']","{'House': ['Finance', 'Appropriations'], 'Senate': ['Finance']}","For the 2024-25, 2025-26, and 2026-27 state fiscal years, the act transfers $500,000 from the breast and cervical cancer prevention and treatment fund to the breast cancer screening fund. The act also removes a requirement that the state treasurer transfer interest and income earned on money in the breast and cervical cancer prevention and treatment fund to the disability support fund. ","June 5, 2024","June 5, 2024",False
Improving Perinatal Health Outcomes,"Concerning measures to improve perinatal health outcomes, and, in connection therewith, making an appropriation.",SB24-175,2024 Regular Session,"['Health Care & Health Insurance', 'Public Health']","['Rhonda Fields', 'Janet Buckner', 'Barbara McLachlan', 'Iman Jodeh']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act requires health benefit plans to provide coverage for doula services in the same scope and duration of coverage for doula services that will be included in the department of health care policy and financing's request for federal authorization of doula services (request) under the ""Colorado Medical Assistance Act"" (medical assistance program). Doulas providing services must meet the same qualifications for and submit to the same regulation as individuals providing doula services as recommended under the medical assistance program. Coverage for doula services will be implemented for large employer health benefit plans issued or renewed in this state on and after July 1, 2025, or 12 months after submission of the request, whichever is later. For small group and individual plans, doula services will be implemented if the division of insurance and the federal department of health and human services determine that the benefit does not require state defrayal of the cost of the benefit or the division of insurance determines defrayal is not required and the federal department fails to respond to the division's request for confirmation of the determination within 365 days after the request is made. The act authorizes the department of public health and environment (department) to partner with the designated state perinatal care quality collaborative (perinatal quality collaborative) to track the statewide implementation of the recommendations of the Colorado maternal mortality review committee, implement perinatal health quality improvement programs with hospitals that provide labor and delivery or neonatal care services (hospital) to improve infant and maternal health outcomes, and address disparate care outcomes among certain populations and of those living in frontier areas of the state. No later than July 1, 2025, and no later than July 1 each year thereafter, the act requires hospitals to submit specified data to the perinatal quality collaborative concerning disparities in perinatal health care and health-care outcomes and beginning December 15, 2025, to annually participate in at least one maternal or infant health quality improvement initiative (initiative), as determined by the hospitals. The act authorizes financial support for hospitals in rural and frontier areas of the state, hospitals that serve a higher number of medical assistance patients or uninsured patients, and hospitals with lower-acuity maternal or neonatal levels of care. The act requires the department to contract with the perinatal quality collaborative to issue an annual report, no later than July 1, 2026, and no later than July 1 each year thereafter, on clinical quality improvements in maternal and infant health outcomes and related data, as well as other information that can be shared with hospitals and health facilities, policymakers, and others and posted on the internet. The act includes protections for the confidentiality of certain data collected or shared under the act. No later than July 1, 2025, the act requires the medical services board to promulgate rules to include coverage under the medical assistance program of over-the-counter choline dietary supplements for pregnant people and to seek federal approval for the coverage if necessary. For the 2024-25 state fiscal year, $1,328,652 is appropriated from the general fund to the department, for use by the prevention services division, with the assumption that the division will require 0.9 FTE, to implement the act. ","June 5, 2024","June 5, 2024",False
Increase Access to School-Based Health Care,Concerning increasing access to school-based health care.,SB24-034,2024 Regular Session,"['Education & School Finance (Pre & K-12)', 'Health Care & Health Insurance', 'Public Health']","['Janice Marchman', 'Chris Kolker', 'Lorena García', 'Mandy Lindsay']","{'House': ['Education'], 'Senate': ['Education', 'Appropriations']}","For purposes of the school-based health center grant program (grant program), the act expands the definition of a school-based health center and the purposes of the grant program to authorize grants for evidence-informed, school-linked health-care services. Services may include primary health-care, behavioral health-care, oral health-care, and preventive health-care services for students and youth (school-linked health-care services). School-linked health-care services may be delivered through telehealth, mobile services, and referrals for health-care services at a clinic near school grounds. Subject to available appropriations, the act authorizes grant money to be directed to evidence-informed, school-linked health-care services models to expand access to school-based health care, unless the prevention services division in the department of public health and environment determines that adequate proposals have not been submitted for the grant cycle. The act also requires the department of health care policy and financing to create a service-location identifier for claims for services provided at school-based health centers or through school-linked health-care services. ","June 5, 2024","August 7, 2024",False
Increase Syphilis Testing During Pregnancy,Concerning testing for syphilis during the perinatal period.,HB24-1456,2024 Regular Session,"['Health Care & Health Insurance', 'Insurance', 'Professions & Occupations', 'Public Health']","['Julia Marvin', 'Lindsey Daugherty', 'Dafna Michaelson Jenet']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","Effective January 1, 2025, the act repeals the existing statutory requirement to test a person who is pregnant for syphilis at the person's first professional visit with a health-care provider or during the first trimester of pregnancy. The act requires each health-care provider to take a blood sample from each pregnant person under their care and submit the sample to a laboratory for HIV testing and, if a pregnant person declines to be tested, to document in the person's medical record the refusal to be tested. The act requires the state board of health (board), on or before January 1, 2025, to promulgate rules concerning prenatal testing standards for syphilis, including the frequency of testing. At least once every 3 years, the department of public health and environment (department) is required to review the board's rules for alignment with national prenatal testing recommendations for sexually transmitted infections and the department's infection control duties. For statistical purposes, the department is required to make de-identified case rate data for syphilis available to county and district public health agencies, which data must remain confidential. ","June 5, 2024","June 5, 2024",False
Medical Aid-in-Dying,Concerning end-of-life options for an individual with a terminal illness.,SB24-068,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Joann Ginal', 'Kyle Brown']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services', 'Appropriations']}","Current law authorizes an individual with a terminal illness to request, and the individual's attending physician to prescribe to the individual, medication to hasten the individual's death (medical aid-in-dying). The act modifies the medical aid-in-dying laws by: Providing an advanced practice registered nurse with the same authority to evaluate an individual and prescribe medication as a physician; Adding language specifying that if any end-of-life options conflict with requirements to receive federal money, the conflicting part is inoperative and the remainder of the law will continue to operate; and Reducing the waiting period between oral requests from 15 days to 7 days and allowing attending providers to waive the mandatory waiting period if the patient is unlikely to survive more than 48 hours and meets all other qualifications. The act also prohibits certain insurers from: Denying or altering health-care or life insurance benefits otherwise available to a covered individual with a terminal illness based on the availability of medical aid-in-dying; or Attempting to coerce an individual with a terminal illness to make a request for medical aid-in-dying medication. ","June 5, 2024","August 7, 2024",False
Transparency in Health-Care Coverage,"Concerning health insurance carrier price transparency requirements, and, in connection therewith, making an appropriation.",SB24-080,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Rhonda Fields', 'Sonya Jaquez Lewis', 'Mary Young', 'Julia Marvin']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}",The act requires health insurance carriers (carriers) to comply with federal price transparency laws and to make available an internet-based self-service tool that provides real-time responses to a covered person's questions concerning carrier prices that are based on cost-sharing information. The act also requires carriers to submit information required by federal pharmacy benefit and drug cost reporting laws to the commissioner of insurance and to make certain information regarding price transparency publicly available. ,"June 5, 2024","June 5, 2024",False
Maternal Health Midwives,"Concerning maternal health, and, in connection therewith, making an appropriation.",HB24-1262,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Lorena García', 'Iman Jodeh', 'Janet Buckner', 'Dafna Michaelson Jenet']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act: Requires the Colorado civil rights commission to establish certain parameters when receiving reports for maternity care; Adds a midwife to the environmental justice advisory board and the governor's expert emergency epidemic response committee and adds midwifery as a preferred area of expertise for members of the health equity commission; and Requires a health facility that provides maternal health-care services to notify certain individuals at least 90 days before eliminating the services. The act also allows the department of public health and environment (department) to contract with a third-party evaluator to complete the following tasks and make appropriate recommendations: Study closures, consolidations, and acquisitions related to perinatal health-care practices and facilities and perinatal state-designated health professional shortage areas and assets and deficits related to perinatal health and health-care services across the state, not limited to obstetric providers; Identify major outcome categories that the department should track over time and identify risks and opportunities; Explore the effects of practice and facility closures (closures) on maternal and infant health outcomes and experiences; Identify recommendations and best practice guidelines during closures and resultant transfers of care; and Create a health professional shortage area and perinatal health services assets and deficits map. ","June 4, 2024","June 4, 2024",False
Physician Continuing Education,Concerning continuing education requirements for physicians.,HB24-1153,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Lorena García', 'Jenny Willford', 'Lisa Cutter', 'Sonya Jaquez Lewis']","{'House': ['Health & Human Services', 'Finance', 'Appropriations'], 'Senate': ['Health & Human Services', 'Finance', 'Appropriations']}","The act establishes a continuing medical education requirement (CME) for physicians licensed in this state. To meet the CME requirement, a physician must complete 30 credit hours of CME (CME credit hours) in the 24 months preceding the renewal, reinstatement, or reactivation of the physician's medical license in topics selected by the physician and also in topics specified in the act. The act specifies the type and sponsors of programs or activities that qualify for CME credit hours. The board, at its discretion, may initiate a stakeholder process to consider requiring CME credit hours in a certain topic and shall initiate a stakeholder process for the board to consider requiring specific credit hours relating to health disparities and outcomes data, reproductive, sexual, and gender-based health care, and explicit and implicit bias. To verify compliance with the CME requirement, the physician shall affirm on the license renewal form submitted to the board that the physician has complied with the CME requirement. The board is also authorized to audit up to 5% of physician renewals annually, chosen at random with an oversampling of nonboard-certified physicians, and to require that the physician submit proof of the CME programs completed and the CME credit hours awarded. A physician's failure to comply with the CME requirement or to submit proof to the board during a board audit, without reasonable cause, constitutes unprofessional conduct. If the physician fails to comply with the CME requirement, the physician's license is inactive until reinstated by the board. The board may adopt rules to implement the CME requirement. The director of the division of professions and occupations in the department of regulatory agencies shall increase existing fees on physician licensure renewals to cover any additional costs associated with implementing the CME requirement. ","June 4, 2024","August 7, 2024",False
Credit Covered Person Expenses Insurer Insolvency,Concerning credit for the out-of-pocket expenses paid by a covered person when a health insurance carrier exits the market.,HB24-1258,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Kyle Brown', 'Andrew Boesenecker', 'Dylan Roberts']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","For individual health benefit plans, if a covered person has paid any out-of-pocket expenses and the individual's health insurance carrier (carrier) exits the health insurance market and can no longer provide health insurance benefits to the individual, the act requires the individual's new carrier to credit all of the out-of-pocket expenses paid by the individual in accordance with the original health benefit plan in the given plan year to the new health benefit plan if the individual enrolls in the new health benefit plan in the established special enrollment period. The new carrier may file a claim for the amount of any claims liability that results from the new costs to the carrier; except that a claim may not be filed with the estate of the new carrier if the new carrier has otherwise recouped its costs for out-of-pocket expenses credited to covered persons. The act grants an exception for carriers from crediting the out-of-pocket expenses if doing so would make the carrier insolvent. The act grants rule-making authority to the commissioner of insurance. ","June 3, 2024","January 1, 2025",False
Electroconvulsive Treatment for Minors,Concerning the conditions when electroconvulsive treatment may be performed on a minor.,HB24-1471,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Mary Young', 'Mary Bradfield', 'Dafna Michaelson Jenet']","{'House': ['Health & Human Services'], 'Senate': ['State, Veterans, & Military Affairs']}","Current law prohibits electroconvulsive treatment (ECT) from being performed on a minor under 16 years of age. The act authorizes ECT to be performed on a minor who is under 16 years of age only if: 2 individuals licensed to practice medicine in Colorado and specializing in psychiatry approve the ECT; Other less-invasive treatments have failed; ECT is medically necessary to treat life-threatening malignant catatonia; ECT is performed by at least one physician, or the physician's designee, who is trained and credentialed in ECT; and The minor's parent or guardian consents to ETC. ","June 3, 2024","June 3, 2024",False
Health-Care Coverage for Biomarker Testing,Concerning requiring health-care coverage for biomarker testing.,SB24-124,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Dafna Michaelson Jenet', 'Janice Rich', 'Anthony Hartsook', 'Monica Duran']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act requires all large group health benefit plans to provide coverage for biomarker testing to guide treatment decisions if the testing is supported by medical and scientific evidence. The act defines ""biomarker testing"" as an analysis of a patient's tissue, blood, or other biospecimen for the presence of an indicator of normal biological processes, pathogenic processes, or pharmacologic responses to a specific therapeutic intervention. The required testing under the act does not include biomarker testing for screening purposes or direct-to-consumer genetic tests. The act requires the commissioner of insurance to implement biomarker testing coverage for all large employer health benefit plans issued or renewed on or after January 1, 2025. To the extent biomarker testing is not in addition to the benefits provided pursuant to the benchmark plan, all individual and small group health benefit plans must provide coverage for biomarker testing. Within 120 days after the act takes effect, the division of insurance (division) shall submit to the federal department of health and human services (HHS) its determination of whether biomarker testing is in addition to essential health benefits and would require state defrayal of costs pursuant to federal law. The division shall implement the requirement for coverage for biomarker testing for individual and small group health benefit plans within 12 months after the earlier of the division receiving confirmation from HHS that biomarker coverage does not require defrayal or more than 365 days passing since the division submitted its determination that defrayal was not necessary. Biomarker testing is subject to the health benefit plan's annual deductibles, copayment, or coinsurance but is not subject to any annual or lifetime maximum benefit limit. ","June 3, 2024","June 3, 2024",False
Implement Prescription Drug Affordability Programs,"Concerning the implementation of certain affordable prescription drug programs, and, in connection therewith, making an appropriation.",HB24-1438,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Javier Mabrey', 'Iman Jodeh', 'Dylan Roberts']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Judiciary', 'Appropriations']}","The act makes it a deceptive trade practice under the ""Colorado Consumer Protection Act"" for a manufacturer of insulin to fail to comply with the manufacturer requirements under the insulin affordability program and for the emergency supply of prescription insulin. The act also authorizes the attorney general to enforce the epinephrine auto-injector affordability program (epinephrine program). For the insulin affordability program, the state board of pharmacy (board), rather than the division of insurance (division) and the department of health care policy and financing (department), shall develop an application form for the insulin affordability program, make the application form available on the board's website, provide the application form to pharmacies and health-care providers and others, and promote the availability of the program to Coloradans. For the emergency supply of prescription insulin, the board, rather than the division and the department, shall develop an application form for individuals seeking an emergency supply of prescription insulin, make the application form available to the public, and promote the availability of the emergency supply of prescription insulin to Coloradans. The act also changes the amount of a fine for a manufacturer's failure to comply with the requirements of the insulin affordability program or with the requirements for the emergency supply of prescription insulin, or for failure to comply with the epinephrine program, to the amount and frequency of the fine that is permitted under the ""Colorado Consumer Protection Act"". For the epinephrine program, the act requires all manufacturers subject to the epinephrine program to participate in the epinephrine program. The board shall develop a program application form and make the form available to individuals, pharmacies, health-care providers, and health facilities through the board's website, with each manufacturer required to link to the epinephrine program on the manufacturer's website. The board shall also provide information to pharmacies about the epinephrine program that includes a quick response (QR) code to allow individuals to access the epinephrine program's application online, including how to submit the application, and information necessary for a dispensing pharmacy to successfully submit an electronic claim for reimbursement of the cost to dispense an epinephrine auto-injector to an individual, above any required cost sharing by the individual. ","June 3, 2024","June 3, 2024",False
Insurance Coverage Pediatric Neuropsychiatric Syndrome,"Concerning requiring health-care coverage for pediatric acute-onset neuropsychiatric syndrome, and, in connection therewith, making an appropriation.",HB24-1382,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Judy Amabile', 'Kyle Brown', 'Kyle Mullica']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","To the extent the coverage is not in addition to the benefits provided pursuant to the health insurance benchmark plan, the act requires all individual and group health benefit plans to provide health insurance coverage for pediatric acute-onset neuropsychiatric syndrome (PANS) and includes pediatric autoimmune neuropsychiatric disorder associated with streptococcal infections (PANDAS). The coverage provided for PANS and PANDAS must adhere to treatment recommended and be developed by a consortium of medical professionals convened to identify and publish clinical practice guidelines and evidence-based standards for the diagnosis and treatment of PANS and PANDAS. The coverage includes, among other treatments and therapies, antibiotics, medication and psychological and behavioral therapies to manage neuropsychiatric symptoms, immunomodulating medicines, plasma exchange, and intravenous immunoglobulin therapy if certain conditions are met. The mandatory coverage provision applies to large group policies and contracts issued or renewed in this state on or after January 1, 2025. For individual and small group policies and contracts, the division of insurance in the department of regulatory agencies (department) shall implement the coverage for individual and small group plans on or after January 1, 2026, if the federal department of health and human services (federal department) affirms the department's determination, or otherwise affirms, that the coverage does not require state defrayal of any increased costs for coverage of PANS and PANDAS or the department determines that the federal department's unreasonable delay precludes requiring defrayal. ","June 3, 2024","June 3, 2024",False
Medicaid Coverage Housing & Nutrition Services,"Concerning the department of health care policy and financing conducting a feasibility study to determine whether to seek federal authorization to provide services that address medicaid members' health-related social needs, and, in connection therewith, making an appropriation.",HB24-1322,2024 Regular Session,"['Health Care & Health Insurance', 'Housing']","['Kyle Brown', 'Shannon Bird', 'Barbara Kirkmeyer', 'Robert Rodriguez']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act directs the department of health care policy and financing (state department) to conduct a feasibility study (study) to explore seeking federal authorization to provide nutrition, housing, and tenant supportive services that address medicaid members' health-related social needs (HRSN). The state department shall report the study's findings to the joint budget committee on or before November 10, 2024. The study and report must address integrating HRSN services with existing nutrition-related, housing-related, and tenant supportive services. The act requires the state department to seek federal authorization to provide HRSN services no later than July 1, 2025, if seeking federal authorization would be budget neutral to the general fund. The act appropriates $222,920 from the general fund to the state department for use by the executive director's office (office). From this appropriation, the office may use $67,070 for personal services, $3,975 for operating expenses, and $151,875 for general professional services and special projects. The act anticipates that the state department will receive $222,919 in federal funds for the act's implementation. ","June 3, 2024","June 3, 2024",False
Medicaid Prior Authorization Prohibition,"Concerning prohibiting prior authorization for antipsychotic prescription drugs used to treat a mental health condition, and, in connection therewith, making an appropriation.",SB24-110,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Robert Rodriguez', 'Barbara Kirkmeyer', 'Judy Amabile', 'Emily Sirota']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act prohibits the department of health care policy and financing (department) from requiring an adult to be prescribed an antipsychotic prescription drug that is included on the preferred drug list and used to treat a mental health disorder or mental health condition if: During the preceding year, the adult was prescribed and unsuccessfully treated with an antipsychotic prescription drug that is included on the preferred drug list and used to treat a mental health disorder or mental health condition and for which a single claim is paid; or The adult is stable on an antipsychotic drug used to treat a mental health disorder or mental health condition that is not included on the preferred drug list. The act appropriates $1,092,134 to the department. This appropriation consists of $888,555 from the general fund and $203,579 from the healthcare affordability and sustainability fee cash fund. The department may use this appropriation for medical and long-term care services for medicaid-eligible individuals. It is anticipated that the department will receive an additional $2,295,189 in federal funds for the implementation of this act. ","June 3, 2024","June 3, 2024",False
Prescription Drug Label Accessibility,"Concerning access to prescription drug label information, and, in connection therewith, making an appropriation.",HB24-1115,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Mary Young', 'Junie Joseph', 'Steve Fenberg']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act requires a pharmacy, on and after July 1, 2025, to provide an individual who has difficulty seeing or reading standard printed labels on prescription drug containers with access to the prescription drug label information by: Including an electronic label affixed to the prescription drug container that transmits the prescription drug's label information, directions, and written instructions to an individual's external accessible device, including an individual's compatible prescription drug reader; Providing a prescription drug reader at no cost to the individual; Providing a prescription drug label in braille or large print; or Providing the individual with a method recommended by the United States access board. A pharmacy has 28 days to provide such access if a patient requests a method of access the pharmacy has not yet been asked by any other patient to provide. A pharmacy must make reasonable efforts to inform the public that prescription drug label information is available in accessible formats. The act creates the prescription accessibility grant program in the department of public health and environment to provide hardship grants to pharmacies for the purchase of equipment used to create accessible prescription labels. ","June 3, 2024","August 7, 2024",False
Presumptive Eligibility for Long-Term Care,Concerning presumptive eligibility for persons in need of long-term services and supports.,HB24-1229,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Regina English', 'Kyle Mullica', 'Perry Will']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","Beginning January 1, 2026, the act removes the requirement that the department of health care policy and financing (department) fully assess a person in need of long-term services and supports for the appropriate level of care before the person is presumed eligible for the medical assistance program. The act authorizes the department to make any necessary changes to any other federal authorizations that are authorized by the federal centers for medicare and medicaid services in order to implement the presumptive eligibility requirements for persons in need of long-term services and supports. ","June 3, 2024","January 1, 2026",False
Prior Authorization Requirements Alternatives,"Concerning modifications to requirements for prior authorization of benefits under health benefit plans, and, in connection therewith, making an appropriation.",HB24-1149,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Lisa Frizell', 'Dylan Roberts', 'Barbara Kirkmeyer']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","With regard to prior authorization requirements imposed by carriers, private utilization review organizations (organizations), and pharmacy benefit managers (PBMs) for certain health-care services and prescription drug benefits covered under a health benefit plan, the act requires carriers, organizations, and PBMs, as applicable, to adopt a program, in consultation with participating providers, to eliminate or substantially modify prior authorization requirements in a manner that removes administrative burdens on qualified providers and their patients with regard to certain health-care services, prescription drugs, or related benefits based on specified criteria. Additionally, a carrier or organization is prohibited from denying a claim for a health-care procedure a provider provides, in addition or related to an approved surgical procedure, under specified circumstances or from denying an initially approved surgical procedure on the basis that the provider provided an additional or a related health-care procedure. Starting January 1, 2027, if a provider submits a prior authorization request through an electronic interface or secure electronic transmission system used by the carrier, organization, or PBM, as applicable, the carrier, organization, or PBM to which the request was submitted is required to accept and respond to the request through its interface or electronic transmission system. A carrier or PBM is prohibited from imposing prior authorization requirements more than once every 3 years for a chronic maintenance drug approved by the federal food and drug administration that the carrier or PBM has previously approved for a person covered under the carrier's or PBM's health benefit plan, except under specified conditions. The act extends the duration of an approved prior authorization for a health-care service or prescription drug benefit from 180 days to a calendar year. Carriers are required to post, on their public-facing websites, specified information regarding: The number of prior authorization requests that are approved, denied, and appealed; The number of prior authorization exemptions from or alternatives to prior authorization requirements provided pursuant to a program developed and offered by the carrier, an organization, or a PBM; and The prior authorization requirements as applied to prescription drug formularies for each health benefit plan the carrier or PBM offers. The act appropriates $36,514 from the division of insurance cash fund to the department of regulatory agencies for use by the division of insurance to implement the act. ","June 3, 2024","August 7, 2024",False
